epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
27,93.8237,0.80936,0.82221,0.00666,0.96749,1,0.995,0.79934,0.77822,0.70403,0.00869,0.00092825,0.00092825,0.00092825
28,97.5649,0.85559,0.8146,0.00748,0.97497,1,0.995,0.82158,0.75927,0.78509,0.00818,0.000915875,0.000915875,0.000915875
29,101.181,0.82267,0.79008,0.00685,0.96979,1,0.995,0.79424,0.78959,0.73132,0.00855,0.0009035,0.0009035,0.0009035
30,104.811,0.83511,0.74167,0.00726,0.97306,1,0.995,0.82017,0.67481,0.59773,0.00724,0.000891125,0.000891125,0.000891125
31,108.458,0.81048,0.7203,0.00713,0.9748,1,0.995,0.84619,0.73713,0.63842,0.00852,0.00087875,0.00087875,0.00087875
32,112.127,0.79226,0.72999,0.00666,0.97723,1,0.995,0.81756,0.85711,0.73072,0.00963,0.000866375,0.000866375,0.000866375
33,115.691,0.80287,0.69734,0.00698,0.97631,1,0.995,0.7886,0.79167,0.63706,0.00843,0.000854,0.000854,0.000854
34,119.351,0.78112,0.70863,0.00691,0.98036,1,0.995,0.80035,0.80645,0.62091,0.00889,0.000841625,0.000841625,0.000841625
35,122.93,0.75553,0.67924,0.00626,0.97922,1,0.995,0.81343,0.75314,0.57338,0.00835,0.00082925,0.00082925,0.00082925
36,126.653,0.73988,0.68191,0.00625,0.97137,1,0.995,0.8426,0.65165,0.51125,0.00727,0.000816875,0.000816875,0.000816875
37,130.254,0.75314,0.64182,0.0061,0.96922,1,0.995,0.84181,0.63079,0.58642,0.0069,0.0008045,0.0008045,0.0008045
38,133.941,0.77424,0.65605,0.00647,0.97325,1,0.995,0.80862,0.72485,0.48565,0.00801,0.000792125,0.000792125,0.000792125
39,137.51,0.74823,0.61984,0.00642,0.96507,1,0.995,0.8289,0.73095,0.49934,0.00798,0.00077975,0.00077975,0.00077975
40,141.146,0.7639,0.61426,0.00646,0.9707,1,0.995,0.81006,0.71648,0.50705,0.00766,0.000767375,0.000767375,0.000767375
41,144.669,0.77078,0.60387,0.00644,0.97723,1,0.995,0.81,0.76095,0.45882,0.00849,0.000755,0.000755,0.000755
42,148.249,0.7954,0.62264,0.00674,0.98258,1,0.995,0.84261,0.6958,0.40156,0.00757,0.000742625,0.000742625,0.000742625
43,151.812,0.75832,0.59722,0.00641,0.98099,1,0.995,0.84386,0.71938,0.44772,0.00817,0.00073025,0.00073025,0.00073025
44,155.382,0.74215,0.56819,0.00639,0.97425,1,0.995,0.83693,0.69893,0.46215,0.00753,0.000717875,0.000717875,0.000717875
45,158.855,0.72855,0.57249,0.00595,0.97087,1,0.995,0.82491,0.71558,0.47842,0.00777,0.0007055,0.0007055,0.0007055
46,162.461,0.76738,0.58525,0.00657,0.97085,1,0.995,0.81331,0.7857,0.49196,0.00865,0.000693125,0.000693125,0.000693125
47,166.036,0.76626,0.56783,0.00626,0.97675,1,0.995,0.79643,0.7335,0.4125,0.00821,0.00068075,0.00068075,0.00068075
48,169.907,0.73918,0.57126,0.0063,0.97745,1,0.995,0.84942,0.64688,0.35605,0.00719,0.000668375,0.000668375,0.000668375
49,173.384,0.7236,0.52624,0.00587,0.97918,1,0.995,0.86519,0.62945,0.39823,0.00727,0.000656,0.000656,0.000656
50,177.008,0.7361,0.53745,0.00591,0.97615,1,0.995,0.81428,0.6851,0.47937,0.00727,0.000643625,0.000643625,0.000643625
51,180.571,0.70814,0.51791,0.00587,0.98183,1,0.995,0.83743,0.64597,0.45833,0.00706,0.00063125,0.00063125,0.00063125
52,184.18,0.73717,0.52942,0.00606,0.92473,1,0.995,0.77958,0.74889,0.39939,0.00839,0.000618875,0.000618875,0.000618875
53,187.814,0.76153,0.54689,0.00639,0.99038,0.99948,0.995,0.81041,0.69344,0.38719,0.00741,0.0006065,0.0006065,0.0006065
54,190.779,0.72663,0.50549,0.00604,0.98724,0.9699,0.995,0.80888,0.71015,0.39236,0.0081,0.000594125,0.000594125,0.000594125
55,193.464,0.70368,0.51712,0.00581,0.96868,1,0.995,0.831,0.69538,0.34538,0.00771,0.00058175,0.00058175,0.00058175
56,197.009,0.69121,0.51081,0.00581,0.99074,0.99057,0.995,0.82286,0.68663,0.35532,0.00737,0.000569375,0.000569375,0.000569375
57,200.898,0.70165,0.51672,0.00582,0.89279,1,0.9675,0.81442,0.73963,0.44143,0.00786,0.000557,0.000557,0.000557
58,204.521,0.70831,0.50694,0.00591,0.89398,1,0.9675,0.81229,0.66828,0.47239,0.00743,0.000544625,0.000544625,0.000544625
59,208.315,0.72448,0.50953,0.00596,0.90108,1,0.9675,0.78553,0.63111,0.49595,0.00705,0.00053225,0.00053225,0.00053225
60,211.889,0.71101,0.50495,0.00582,0.96154,1,0.995,0.79454,0.70315,0.46293,0.00781,0.000519875,0.000519875,0.000519875
61,215.513,0.68954,0.49402,0.00567,0.97371,1,0.995,0.81481,0.75,0.38452,0.00823,0.0005075,0.0005075,0.0005075
62,219.089,0.68603,0.4967,0.00578,0.97839,1,0.995,0.82651,0.72047,0.34576,0.00759,0.000495125,0.000495125,0.000495125
63,222.762,0.70224,0.46311,0.00609,0.98319,0.98139,0.995,0.81241,0.75879,0.39082,0.00822,0.00048275,0.00048275,0.00048275
64,226.338,0.68446,0.50454,0.00545,0.88885,1,0.9675,0.78113,0.70972,0.39845,0.00785,0.000470375,0.000470375,0.000470375
65,229.923,0.68042,0.47172,0.00536,0.89306,1,0.9675,0.78322,0.77823,0.39669,0.00853,0.000458,0.000458,0.000458
66,233.464,0.65124,0.44786,0.00547,0.98731,0.98177,0.995,0.80637,0.71803,0.34386,0.00784,0.000445625,0.000445625,0.000445625
67,237.022,0.6536,0.45918,0.0054,0.98437,0.98937,0.995,0.84586,0.65238,0.37511,0.00711,0.00043325,0.00043325,0.00043325
68,240.594,0.66952,0.46419,0.00564,0.98354,0.98608,0.995,0.82361,0.64891,0.3647,0.00732,0.000420875,0.000420875,0.000420875
69,244.109,0.67389,0.5002,0.00562,0.98347,0.99281,0.995,0.82361,0.6947,0.3675,0.00758,0.0004085,0.0004085,0.0004085
70,247.68,0.64565,0.44499,0.00529,0.98644,0.98717,0.995,0.82578,0.67472,0.35069,0.00736,0.000396125,0.000396125,0.000396125
71,251.252,0.66196,0.43925,0.0055,0.98699,0.99757,0.995,0.82896,0.67974,0.34251,0.0074,0.00038375,0.00038375,0.00038375
72,254.814,0.64656,0.45995,0.0055,0.98803,0.98453,0.995,0.83789,0.68908,0.37949,0.00752,0.000371375,0.000371375,0.000371375
73,258.36,0.63388,0.43612,0.00539,0.98299,1,0.995,0.83921,0.66908,0.36113,0.00763,0.000359,0.000359,0.000359
74,261.892,0.64527,0.45197,0.00564,0.97149,1,0.995,0.84283,0.66708,0.37434,0.00741,0.000346625,0.000346625,0.000346625
75,265.437,0.64264,0.45999,0.00565,0.97272,1,0.995,0.83453,0.65778,0.35104,0.00744,0.00033425,0.00033425,0.00033425
76,269.163,0.64267,0.45855,0.00523,0.97427,1,0.995,0.83776,0.67348,0.34315,0.00752,0.000321875,0.000321875,0.000321875
77,272.708,0.62595,0.42922,0.00528,0.97442,1,0.995,0.84349,0.64346,0.39264,0.00742,0.0003095,0.0003095,0.0003095
78,276.286,0.65076,0.43608,0.00552,0.97555,1,0.995,0.83189,0.74334,0.37283,0.00833,0.000297125,0.000297125,0.000297125
79,279.973,0.63103,0.43669,0.00535,0.97614,1,0.995,0.86292,0.6263,0.31865,0.00714,0.00028475,0.00028475,0.00028475
80,283.885,0.63676,0.42662,0.00527,0.97832,1,0.995,0.84321,0.70063,0.36399,0.00765,0.000272375,0.000272375,0.000272375
81,287.428,0.62705,0.43367,0.00532,0.97857,1,0.995,0.82783,0.66733,0.38107,0.00726,0.00026,0.00026,0.00026
82,291.023,0.6509,0.44028,0.00555,0.97644,1,0.995,0.84861,0.63578,0.36512,0.00705,0.000247625,0.000247625,0.000247625
83,294.791,0.62743,0.43078,0.00545,0.97559,1,0.995,0.85649,0.66957,0.35323,0.00726,0.00023525,0.00023525,0.00023525
84,298.547,0.60756,0.41989,0.00498,0.97584,1,0.995,0.83358,0.68131,0.38892,0.00753,0.000222875,0.000222875,0.000222875
85,302.164,0.60591,0.40838,0.00504,0.97603,1,0.995,0.83953,0.68766,0.36334,0.00757,0.0002105,0.0002105,0.0002105
86,305.753,0.63456,0.42912,0.00539,0.97502,1,0.995,0.84787,0.67101,0.33712,0.0073,0.000198125,0.000198125,0.000198125
87,309.334,0.61777,0.41254,0.00522,0.97681,1,0.995,0.83928,0.69266,0.39326,0.00763,0.00018575,0.00018575,0.00018575
88,312.901,0.61075,0.42388,0.00522,0.978,1,0.995,0.83124,0.69485,0.38121,0.00762,0.000173375,0.000173375,0.000173375
89,316.542,0.59764,0.39388,0.00496,0.97614,1,0.995,0.83717,0.60827,0.36779,0.00664,0.000161,0.000161,0.000161
90,320.173,0.62243,0.44479,0.00518,0.97702,1,0.995,0.83974,0.65491,0.36712,0.00712,0.000148625,0.000148625,0.000148625
91,337.315,0.51192,0.31022,0.005,0.9687,1,0.995,0.83975,0.68089,0.37312,0.00759,0.00013625,0.00013625,0.00013625
92,340.827,0.53518,0.32692,0.00556,0.95291,1,0.995,0.8145,0.64297,0.35962,0.00716,0.000123875,0.000123875,0.000123875
93,344.437,0.51998,0.3149,0.0053,0.9427,1,0.995,0.84841,0.63419,0.3951,0.00687,0.0001115,0.0001115,0.0001115
94,347.934,0.5224,0.31153,0.00518,0.9464,1,0.995,0.82603,0.68417,0.35587,0.00745,9.9125e-05,9.9125e-05,9.9125e-05
95,351.431,0.50233,0.29861,0.00499,0.94416,1,0.995,0.83376,0.74725,0.35662,0.00837,8.675e-05,8.675e-05,8.675e-05
96,354.865,0.51197,0.31176,0.0054,0.94329,1,0.995,0.80808,0.72669,0.34856,0.00804,7.4375e-05,7.4375e-05,7.4375e-05
97,358.32,0.50023,0.3068,0.00524,0.93796,1,0.995,0.82268,0.68809,0.3359,0.00756,6.2e-05,6.2e-05,6.2e-05
98,361.744,0.4744,0.31556,0.00482,0.94431,1,0.995,0.84428,0.67535,0.3253,0.00734,4.9625e-05,4.9625e-05,4.9625e-05
99,365.228,0.49511,0.28747,0.00513,0.94334,1,0.995,0.84428,0.6745,0.32786,0.00736,3.725e-05,3.725e-05,3.725e-05
100,368.774,0.47911,0.29699,0.0049,0.94706,1,0.995,0.84428,0.6781,0.32895,0.00738,2.4875e-05,2.4875e-05,2.4875e-05
